id,words
58,"['so', ',', 'i', 'hate', 'to', 'break', 'it', 'to', 'you', 'but', 'there', ""'s"", 'snitches', 'everywhere', 'in', 'the', 'police', 'i', 'know', 'there', 'must', 'be', 'you', 'said', 'as', 'much', 'on', 'the', 'night', 'we', 'met', 'i', ""'m"", 'sure', 'all', 'your', 'fellow', 'police', 'officers', 'despise', 'the', 'leader', ',', 'But', 'harvey', 'Officer', 'sinclairi', 'he', 'was', 'so', 'sweet', ',', 'so', 'considerate', 'and', 'genuine', 'all', 'the', 'time', '.', 'god']"
59,"['Officer', 'sinclair', 'here', ':', 'pxvxvsh', '?']"
60,"[""'re"", 'one', 'breath', 'away', 'from', 'rioting', 'in', 'the', 'streets', 'chief', 'sinclair', 'managed', 'to', 'stop', 'a', 'revolt', 'last', 'time', ',', 'but', 'the', 'shock', 'is', 'much', 'more', 'serious', 'now', 'this', 'assassin', 'snuck', 'inside', 'the', 'tower', 'the', 'most', 'highly', 'guarded', 'section', 'of', 'the', 'prison', 'like', 'it', 'was', 'a', 'a', 'vulgar', 'shop', '!']"
61,"['heard', 'me', 'sinclair', 'is', ""n't"", 'here', 'which', 'makes', 'you', 'two', 'bit', 'more', 'tolerable', 'dost', 'mine', 'ears', 'deceive', 'me', '?']"
62,"[""'s"", 'learned', 'from', 'her', 'mistakes', 'no', '5s', 'I', 'do', ""n't"", 'want', 'officer', 'sinclair', 'involved', 'with', 'anything', 'phantom', 'scythe', 'related', '.', 'last']"
63,"['to', 'say', 'this', 'matter', 'is', 'to', 'remain', 'strictly', 'confidential', 'between', 'the', 'four', 'of', 'us', 'sinclair', 'will', 'not', 'be', 'part', 'of', 'this', 'operation', '.', 'Lieutenant']"
64,"['we', 'both', 'know', 'he', ""'s"", 'jealous', 'that', 'tristan', 'sinclair', 'got', 'made', 'chief', 'of', 'police', '.', 'no']"
65,"['we', 'meet', 'again', ',', 'detective', 'sinclair', '.', 'or']"
66,"['sinclair', 'will', 'assist', 'you', '.', 'Yes']"
67,"['the', 'hell', 'are', 'you', 'doing', ',', 'sinclair', '?']"
68,"['you', 'completely', 'lost', 'it', 'sinclair', '?']"
69,"[',', 'we', 'meet', 'again', ',', 'detective', 'sinclair', '.', 'Or']"
70,"['that', 'all', 'you', ""'ve"", 'got', ',', 'detective', 'sinclair', '?']"
71,"['tell', 'you', 'just', 'because', 'i', 'like', 'you', ',', 'sinclair', '.', 'The']"
72,"['sinclair', 'is', 'back', '.', 'Officer']"
73,"['sinclair', 'finally', 'report', 'the', 'assassin', 'escaped', 'i', 'and', 'two', 'other', 'officers', 'were', 'in', 'pursuit', 'but', 'they', 'were', 'soon', 'outpaced', 'i', 'pursued', 'him', 'for', 'as', 'long', 'as', 'i', 'could', 'and', 'engaged', 'him', 'in', 'a', 'fight', 'before', 'losing', 'him', 'as', 'well', 'However', ',', 'officer', 'sinclair', 'got', 'close', 'enough', 'to', 'him', 'to', 'be', 'able', 'to', 'tell', 'that', 'we', 'are', 'dealing', 'with', 'a', 'man', ',', 'tall', ',', 'slim', 'and', 'in', 'his', 'twenties', 'thirties', '.', 'i']"
74,"[""'"", 'm', 'pleasantly', 'surprised', 'sinclair', 'or', 'What', 'happened', 'in', 'here', '?']"
75,"['then', 'the', 'killer', 'escaped', 'through', 'the', 'window', 'which', 'is', 'when', 'i', 'spotted', 'him', ':', 'Good', 'analysis', ',', 'sinclair', ':', 'hmph', '.', 'leave']"
76,"['the', 'investigating', 'to', 'the', 'detectives', ',', 'officer', 'sinclair', '.', 'An']"
77,"['Officer', 'sinclair', 'shk', 'The', 'assassin', 'you', 'encountered', 'tonight', 'is', 'none', 'other', 'than', ':', 'The', 'purple', 'hy', 'acinth', 'Purple', 'hyacinth', 'prologue', 'ost', 'available', 'on', 'all', 'free', 'streaming', 'services', '.', 'music']"
78,"['and', 'mrs', '.', 'sinclair', '.', 'n']"
79,"['knew', 'and', 'i', 'did', ""n't"", 'even', 'suspect', 'it', 'until', 'i', 'saw', 'anslow', ""'s"", 'picture', ':', 'ke', 'jout', 'November', '26th', ',', 'xx17', 'terrible', 'car', 'accident', 'carries', 'the', 'sinclairs', 'and', 'their', 'driver', 'i', 'was', 'a', 'fool', 'ten', 'years', 'ago', 'and', 'nothing', 'has', 'changed', 'the', 'car', 'was', 'borrowed', 'from', 'a', 'random', 'rich', 'family', '.', 'that']"
80,"['lauren', 'sinclairi', 'Lalren', ',', 'meet', 'the', 'newest', 'addition', 'to', 'our', 'precinct', '.', 'Kieran']"
81,"['lauren', 'sinclairi', 'Lalren', ',', 'meet', 'the', 'newest', 'addition', 'to', 'our', 'precinct', '.', 'His']"
82,"[""'m"", 'lauren', ':', 'The', 'pleasure', 'is', 'mine', ',', 'officer', 'sinclair', '.', 'I']"
83,"['called', 'her', 'sinclair', 'I', 'see', 'this', 'might', 'indeed', 'become', 'problematic', 'you', 'know', 'i', ""'m"", 'almost', 'jealous', 'it', ""'s"", 'always', 'the', 'purple', 'hyacinth', 'who', 'gets', 'the', 'fancy', 'jobs', 'if', 'apostle', 'vi', '!']"
84,"['thought', 'you', 'were', 'a', 'threat', 'Hmm', ':', 'right', '``', 'a', 'threat', 'curious', 'i', 'thought', 'the', 'same', 'when', 'i', 'saw', 'those', 'shurikens', 'flying', 'at', 'me', ':', 'Well', ',', 'i', 'did', ""n't"", 'expect', 'the', 'law', 'abiding', 'office', 'sinclair', 'to', 'turn', 'into', 'a', 'mastermind', 'criminal', '.', 'Birds']"
85,"['8', '5', 'mtar', 'Pn', 'p', 'kys9ie', ']', 'ika', 'aa', 'hue', 'aewa', 'november', '26th', ',', 'xx17', 'terrible', 'car', 'accident', 'carrues', 'the', 'sinclairs', 'and', 'their', 'drive', 'What', 'is', 'your', 'angle', ',', 'lauren', '?']"
86,"[',', 'good', 'morning', ',', 'officer', 'sinclair', '!']"
87,"['sinclair', '?']"
88,"['lalren', 'sinclair', '.', 'got']"
89,"['no', 'one', 'has', 'ever', 'gotten', 'close', 'enough', 'to', 'be', 'able', 'to', 'describe', 'him', 'as', 'precisely', 'as', 'officer', 'sinclair', 'did', 'tonight', '.', 'We']"
90,"['may', 'have', 'lost', 'valuable', 'assets', 'tonight', 'but', 'now', 'we', 'know', 'who', 'we', ""'re"", 'looking', 'for', ',', 'at', 'least', 'the', 'details', 'you', 'were', 'able', 'to', 'provide', 'tonight', 'are', 'of', 'immeasurable', 'value', 'as', 'always', 'well', 'done', ',', 'officer', 'sinclair', '``', 'well', 'done', '?']"
91,"['this', 'is', ""n't"", 'his', 'usual', 'political', 'terrorism', 'rocca', 'and', 'grayson', 'were', 'recently', 'recruited', 'as', 'double', 'agents', 'they', 'were', 'assigned', 'to', 'try', 'to', 'infiltrate', 'the', 'phantom', 'scythe', ""'s"", 'underground', 'network', 'only', 'those', 'with', 'the', 'highest', 'security', 'clearance', 'were', 'aware', 'seems', 'like', 'the', 'leader', 'is', 'always', 'one', 'step', 'ahead', 'of', 'us', 'hawkes', ',', 'ladell', 'sinclair', 'i', 'want', 'to', 'thank', 'you', 'three', 'for', 'coming', 'so', 'quickly', 'tonight', 'the', 'investigation', 'unit', 'will', 'take', 'care', 'of', 'the', 'rest', 'you', 'are', 'now', 'dismissed', 'Yes', 'siri', 'What', 'a', 'prick', '.', 'good']"
92,"['the', 'sinclair', ""'s"", 'daughter', 'is', 'a', 'waste', 'of', 'time', '.', 'she']"
93,"['sinclair', 'was', 'still', 'in', 'the', 'investigation', 'unit', ',', '4j', 'she', 'might', 'already', 'have', 'a', 'lead', 'by', 'now', '.', 'well']"
94,"['then', 'i', 'heard', 'the', 'sinclairs', 'daughter', 'was', 'an', 'officer', 'at', 'the', 'precinct', 'that', 'arrested', 'anslow', '.', 'I']"
95,"[',', 'officer', '25', 'sinclair', '!']"
96,"['are', 'dealing', 'with', 'the', 'purple', 'hyacinth', 'again', ':', 'Thanks', 'to', 'officer', 'sinclair', ',', 'we', 'now', 'know', 'he', 'is', 'male', ',', 'arolnd', '5', ""''"", '9', 'tall', ',', 'and', '20', 'to', '30', 'years', 'old', '.', 'He']"
97,"['came', 'up', 'with', 'few', 'theories', 'that', 'might', 'be', 'useful', 'to', 'the', 'investiga', 'officer', 'sinclair', 'by', 'the', 'looks', 'of', 'the', 'bags', 'under', 'your', 'eyes', 'have', 'no', 'doubt', 'you', 'spent', 'the', 'entire', 'night', 'obsessing', 'over', 'this', 'and', 'concocted', 'many', 'theories', 'as', 'always', 'your', 'attention', 'to', 'details', 'and', 'analytical', 'perception', 'on', 'crime', 'scene', 'is', 'remarkable', 'however', 'cufu', 'must', 'remind', 'you', '.', 'any']"
98,"['sinclair', '.', 'Lauren']"
99,"['drop', 'like', 'flies', 'around', 'you', ',', 'sinclair', '.', 'There']"
100,"[',', 'only', 'until', 'we', 'get', 'the', 'evidence', '.', 'sinclair']"
101,"['and', 'will', 'inform', 'chief', 'sinclair', 'to', 'keep', 'an', 'eye', 'on', 'you', 'as', 'well', 'Fup', 'Transcript', 'chow', 's', 'cn', 'detective', 'lauren', 'sincla', 'witness', 'tim', 'sake', '70', 'Sake', ':', 'but', 'i', ""'m"", 'not', '!']"
102,['sinclair']
103,"['since', 'the', 'allendale', 'train', 'station', 'tragedy', 'nobody', 'could', ""'ve"", 'known', 'they', 'would', 'strike', 'there', 'what', 'horrible', 'senseless', 'massacre', 'sinclair', ':', 'what', 'did', 'you', 'say', '?']"
104,"['40', 'eafe', 'sake', 'j88', '``', 'ever', 'since', 'the', 'allendale', 'train', 'station', 'tragedy', 'nobody', 'could', ""'ve"", 'known', 'would', 'strike', 'there', 'what', 'horrible', 'senseless', 'masaaer', 'sinclair', ':', 'what', 'did', 'you', 'say', '?']"
105,"['10', 'I', 'm', 'det', 'Officer', 'sinclair', '.', 'i']"
106,"['are', 'other', 'cases', 'that', 'could', 'be', 'linked', 'to', 'this', 'one', 'what', 'the', 'hell', 'is', 'this', ',', 'sinclair', '?']"
107,"['have', 'my', 'althorization', 'to', 'proceed', 'with', 'the', 'appeal', 'Detective', 'march', 'and', 'detective', 'cooper', 'will', 'be', 'in', 'charge', 'of', 'the', 'case', '.', 'sinclair']"
108,"[""'ve"", 'done', 'all', 'the', 'work', ',', 'sinclair', ',', 'and', 'it', ""'s"", 'impressive', ':', 'pkt', 'Cooper', 'and', 'i', 'will', 'not', 'let', 'it', 'go', 'to', 'waste', '.', 'You']"
109,"['endless', 'vicious', 'cycle', ':', 'Carefll', ',', 'sinclair', '.', 'you']"
110,"['i', ""'ll"", 'continle', 'to', 'always', 'do', 'my', 'best', 'for', 'them', 'So', 'what', 'about', 'you', ',', 'sinclair', '?']"
111,"['ms', '.', 'sinclair', 'has', 'grown', 'into', 'a', 'fine', 'lady', 'oh']"
112,"['ms', 'sinclair', 'looks', 'ravishing', 'tonighti', 'Hawkes', '!']"
113,"['we', 'should', ""n't"", 'have', 'argued', 'in', 'front', 'of', 'the', 'sinclair', ""'s"", 'picture', ':', 'They', 'were', 'always', 'exemplary', 'people', 'There', 'was', 'never', 'an', 'argument', 'we', 'colld', ""n't"", 'settle', '.', 'Or']"
114,"['have', ""n't"", 'indeed', 'i', 'assume', 'you', ""'re"", 'ms', '.', 'sinclair', '?']"
115,"['hyacinth', 'Episode', 'Good', 'evening', 'It', ""'s"", 'been', 'a', 'long', 'time', ',', 'william', ':', 'and', 'nice', 'to', 'finally', 'meet', 'you', ',', 'ms', 'sinclair', 'you', 'look', 'just', 'as', 'lovely', 'as', 'they', 'describe', 'you', '.', 'Thank']"
116,"['was', 'excited', 'to', 'learn', 'you', ""'ve"", 'been', 'invited', 'to', 'the', 'sinclair', ""'s"", 'party', '.', 'i']"
117,"[""'s"", 'going', 'on', 'by', 'the', 'way', ',', 'your', 'place', 'looks', 'splendid', 'ms', 'sinclair', 'would', 'you', 'mind', 'showing', '4s', 'around', '?']"
118,"['my', 'god', ',', 'ms', '.', 'sinclair', ',', 'you', 'look', 'so', 'pale', '!']"
119,"['what', 'about', 'sinclair', '?']"
120,"['sinclair', 'was', 'home', 'the', 'entire', 'night', '.', 'dozens']"
121,"['of', 'glests', ',', 'chief', 'sinclair', 'and', 'lord', 'rhysmel', 'can', 'confirm', 'it', '.', 'I']"
122,"['good', 'news', 'for', 'you', ',', 'sinclair', '!']"
123,"['would', 'send', 'chills', 'down', 'anyone', ""'s"", 'spine', ':', 'but', 'i', ""'m"", 'glad', 'officer', 'sinclair', 'is', 'no', 'longer', 'suspected', 'I', 'also', 'have', 'good', 'newsconcerning', 'chow', ""'s"", 'case', '.', 'The']"
124,"['officer', 'sinclair', 'here', 'An', 'emergency', '?']"
125,"['no', 'problem', ',', 'officer', 'sinclair', '.', 'it']"
126,"['Ffrwn', '01', ',', 'sinclair', ',', 'lieltenant', 'hawkes', 'is', 'briefing', '4s', 'on', 'the', 'itinerary', 'change', '.', 'what']"
127,"[',', 'detective', 'sinclair', '.', 'i']"
128,"[""'s"", 'two', 'to', 'zero', 'sinclair', '.', 'did']"
129,"['i', ""'m"", 'ready', 'to', 'bet', 'we', ""'re"", 'looking', 'at', 'the', 'effects', 'of', 'olden', 'viper', 'venom', ':', 'forensic', 'examiner', 'andrew', 'lawes', 'forensic', 'unit', '1th', 'precinct', 'ardhalis', 'police', 'department', 'the', 'venom', 'spreads', 'rapidly', 'through', 'the', 'bloodstream', 'and', 'burns', 'through', 'all', 'types', 'of', 'tissues', 'with', 'Skin', 'and', 'cartilage', ',', 'while', 'also', 'causing', 'mass', 'hemorrhaging', '<', 'it']"
130,"['hermann', 'requested', 'we', 'look', 'more', 'closely', 'into', 'this', 'list', 'cuack', 'Lila', ',', 'andrew', ',', 'grace', ',', 'lukas', ',', 'lalren', '.', 'Feels']"
131,"['enough', 'dobce', 'they', ""'ve"", 'been', 'organized', 'under', 'an', 'anonymous', 'leader', 'for', 'the', 'past', 'decade', 'though', 'at', 'first', 'it', 'was', 'just', 'him', 'and', 'the', 'thirteen', '``', 'apostles', '``', 'They', ""'re"", 'the', 'ones', 'who', 'claimed', 'responsibility', 'for', 'allendale', 'train', 'station', '.', 'T']"
132,"['days', 'we', ""'re"", 'down', 'to', 'seven', 'apostles', '.', 'only']"
133,"[',', 'let', ""'s"", 'assume', 'the', 'apostles', 'are', 'the', 'closest', 'to', 'the', 'leader', '.', 'Our']"
134,"['Yep', ',', 'except', 'that', 'the', 'apostles', ""'"", 'identities', 'are', 'also', 'unknown', '.', 'Seriously']"
135,"['apostles', 'are', 'far', 'more', 'traceable', 'than', 'the', 'leader', ',', 'though', '.', 'Each']"
136,"['holds', 'all', 'the', 'pieces', 'of', 'the', 'puzzle', 'except', 'the', 'apostles', 'and', 'the', 'leader', 'himself', '.', 'I']"
137,"['lied', 'about', 'the', 'apostles', 'identity', '!']"
138,"['if', 'that', ""'s"", 'what', ""'s"", 'necessary', 'Stbz', 'The', 'apostles', 'never', 'show', 'themselvesi', 'it', ""'s"", 'always', 'an', 'anonymous', 'messenger', 'who', 'gives', 'us', 'our', 'directives', '.', 'they']"
139,"['izth', 'xxis', '13', 'for', 'mhe', 'kliin', ""'"", 'orld', 'by', 'monarchy', 'the', 'phantom', '=', 'opposition', 'to', 'the', 'wi', 'consolidate', ""'"", 'e', 'inibend', 'clear', 'mcosuse', '|', 'ihej', 'can', 'oveathrow', 'eovoz', 'm', 'the', 'dark', 'until', 'the', '&', 'g', ';', 'it', 'relies', 'on', ',', ""'"", 'the', 'crovn', 'and', 'the', 'class', 'consid', ':', 'ine', 'class', 'udy', '243', '|eaths', ',', 'irain', '328', 'and', '176', 'wle', 'hus', 'real', 'dung', 'the', 'wond', '``', 'r', 'and', 'that', 'the', 'more', 'and', 'of', 'to', '{', 'be', 'was', ""'"", '8', 'to', 'in', 'the', 'of', 'agent', ',', 'now', 'isth', 'would', 'try', 'to', 'heported', 'that', 'tbe', 'the', 'of', 'the', 'the', 'castle', '0n', 'group', 'e', 'train', 'on', 'the', 'sectin', ';', 'the', 'on', 'the', '13th', ',', 'c', 'af', 'me', 'was', 'led', 'to', 'and', '7', 'm', 'apostles', 'the', 'apostles', 'are', 'the', 'leaded', '5', 'closest', 'accomplices', '.', 'le']"
140,"['were', 'only', 'a', 'handful', 'of', 'members', 'back', 'then', ',', 'closer', 'to', 'the', 'apostles', '.', 'Apparently']"
141,"['the', 'very', 'few', 'others', 'became', 'his', 'first', 'apostles', '.', 'Sad']"
142,"['were', 'apostles', '.', 'Let']"
143,"['xxi7', ':', 'ferrible', 'accident', 'e', 'terrible', 'carries', 'accident', 'carries', 'the', ""'"", 'thei', 'the', ""'"", 'thei', 'They', 'Were', 'yen', 'hllne', 'qe', 'valllelceller', 'tsrataly', 'aaitiotate|', 'Apostles', ';', 'I', 'd', 'knup', 'Oinnd', 'Yv', 'v', '|', 'ves', 'Your', 'parenis', 'nere', 'tro', 'of', 'the', 'leader', 's', 'first', 'aposies', ':', 'Bhbur', 'it', 'ca', 'nt', 'be', 'they', 'could', 'nt', 'have', 'They', 'knew', 'who', 'the', 'leader', 'was', 'wm', 'h', 'how', '?']"
144,"['in', 'the', 'phantom', 'scythe', 'Only', 'the', 'apostles', 'know', 'the', 'leader', '.', '(']"
145,"['they', 'were', 'apostles', 'and', 'what', '?']"
146,"['cevnu', 'vvz', 'Tw', 'Cmg', 'Apostles', '.', '78u']"
147,"[""'ve"", 'never', 'believed', 'in', 'that', 'stuff', 'they', 'were', 'apostles', '.', 'But']"
148,"['lieutenant', 'is', 'up', 'for', 'the', 'challenge', 'everyonei', '8', '(', 'leerse', ""'"", 'worte', 'sahd', 'D', 'd', 'tatdur', 'mamsters', 'satbrida', 'vorie', 'they', 'were', 'apostles', '.', 'No']"
149,"['he', 'know', 'they', 'were', 'apostles', '?']"
150,"['snapdragon', ""'s"", 'work', 'dismissed', 'as', 'an', 'anarchist', 'pack', 'of', 'lies', 'by', 'all', 'the', 'official', 'newspapers', 'we', 'were', 'only', 'a', 'handful', 'of', 'members', 'back', 'then', ',', 'closer', 'to', 'the', 'apostles', '.', 'tap']"
151,"['the', 'very', 'few', 'others', 'became', 'his', 'first', 'apostles', '.', 'They']"
152,"['the', 'phantom', 'scythe', 'the', 'apostles', ""'"", 'speciality', 'is', 'to', 'find', 'any', 'of', 'your', 'weaknesses', 'and', 'use', 'them', 'against', 'you', '.', 'stl']"
